2016,Ameer Abdullah,5,2552374
2015,Ameer Abdullah,10,2552374
2015,David Cobb,1,2552376
2016,Jeremy Langford,8,2552379
2015,Tevin Coleman,2,2552453
2015,Tevin Coleman,2,2552453
2016,Duke Johnson,5,2552461
2016,Melvin Gordon,8,2552469
2015,Melvin Gordon,17,2552469
2016,T.J. Yeldon,4,2552471
2015,T.J. Yeldon,8,2552471
2016,Todd Gurley,58,2552475
2015,Todd Gurley,14,2552475
2016,Jay Ajayi,1,2552582
2016,Matt Jones,5,2552635
2016,Thomas Rawls,24,2553733
2016,Ezekiel Elliott,44,2555224
2016,Derrick Henry,4,2556075
2013,Steve Johnson,2,768
2016,Jordy Nelson,24,1032
2015,Jordy Nelson,33,1032
2014,Jordy Nelson,26,1032
2013,Jordy Nelson,5,1032
2016,DeSean Jackson,2,1581
2015,DeSean Jackson,6,1581
2014,DeSean Jackson,5,1581
2015,Eddie Royal,1,1990
2014,Pierre Garcon,7,2346
2013,Pierre Garcon,8,2346
2013,Danny Amendola,9,2649
2016,Michael Crabtree,2,71269
2014,Michael Crabtree,12,71269
2016,Jeremy Maclin,5,80429
2015,Jeremy Maclin,4,80429
2014,Jeremy Maclin,5,80429
2016,Julian Edelman,8,238498
2015,Julian Edelman,10,238498
2014,Julian Edelman,4,238498
2016,Dez Bryant,27,497278
2015,Dez Bryant,38,497278
2014,Dez Bryant,37,497278
2013,Dez Bryant,30,497278
2016,Eric Decker,3,497284
2014,Eric Decker,3,497284
2013,Eric Decker,3,497284
2015,Brandon Lafell,1,497302
2016,Emmanuel Sanders,6,497322
2015,Emmanuel Sanders,16,497322
2014,Emmanuel Sanders,5,497322
2013,Emmanuel Sanders,2,497322
2016,Golden Tate,5,497326
2015,Golden Tate,16,497326
2016,Demaryius Thomas,14,497328
2015,Demaryius Thomas,37,497328
2014,Demaryius Thomas,37,497328
2013,Demaryius Thomas,21,497328
2013,Cecil Shorts,1,2495341
2016,Randall Cobb,16,2495448
2015,Randall Cobb,34,2495448
2014,Randall Cobb,17,2495448
2013,Randall Cobb,20,2495448
2016,A.J. Green,35,2495450
2015,A.J. Green,31,2495450
2014,A.J. Green,40,2495450
2013,A.J. Green,27,2495450
2016,Julio Jones,44,2495454
2015,Julio Jones,37,2495454
2014,Julio Jones,29,2495454
2013,Julio Jones,30,2495454
2015,Torrey Smith,1,2495459
2014,Torrey Smith,2,2495459
2013,Torrey Smith,7,2495459
2016,Brandon Marshall,32,2495893
2015,Brandon Marshall,7,2495893
2014,Brandon Marshall,36,2495893
2013,Brandon Marshall,31,2495893
2013,Anquan Boldin,9,2505587
2016,Larry Fitzgerald,3,2506106
2015,Larry Fitzgerald,1,2506106
2014,Larry Fitzgerald,8,2506106
2013,Larry Fitzgerald,19,2506106
2015,Vincent Jackson,5,2506400
2014,Vincent Jackson,22,2506400
2013,Vincent Jackson,18,2506400
2015,Mike Wallace,10,2507763
2014,Mike Wallace,5,2507763
2013,Mike Wallace,9,2507763
2014,Victor Cruz,6,2507855
2013,Victor Cruz,18,2507855
2016,Antonio Brown,53,2508061
2015,Antonio Brown,42,2508061
2014,Antonio Brown,17,2508061
2013,Antonio Brown,5,2508061
2016,Doug Baldwin,12,2530747
2016,Michael Floyd,4,2532841
2014,Michael Floyd,4,2532841
2016,T.Y. Hilton,17,2532865
2015,T.Y. Hilton,25,2532865
2014,T.Y. Hilton,2,2532865
2013,T.Y. Hilton,2,2532865
2016,Marvin Jones,2,2532884
2016,Alshon Jeffery,16,2533039
2014,Alshon Jeffery,24,2533039
2016,Josh Gordon,7,2537931
2013,Josh Gordon,1,2537931
2015,Terrance Williams,2,2539205
2014,Terrance Williams,1,2539205
2013,Tavon Austin,3,2539336
2014,Cordarrelle Patterson,15,2540145
2014,Justin Hunter,1,2540151
2016,Keenan Allen,18,2540154
2015,Keenan Allen,8,2540154
2014,Keenan Allen,9,2540154
2016,DeAndre Hopkins,40,2540165
2015,Deandre Hopkins,17,2540165
2016,Sammy Watkins,17,2543457
2015,Sammy Watkins,5,2543457
2014,Sammy Watkins,2,2543457
2016,Mike Evans,25,2543468
2015,Mike Evans,11,2543468
2014,Mike Evans,1,2543468
2016,Kelvin Benjamin,8,2543471
2014,Kelvin Benjamin,9,2543471
2016,Jarvis Landry,10,2543488
2015,Jarvis Landry,8,2543488
2015,Davante Adams,12,2543495
2016,Odell Beckham,46,2543496
2015,Odell Beckham,35,2543496
2016,Brandin Cooks,23,2543498
2015,Brandin Cooks,12,2543498
2014,Brandin Cooks,6,2543498
2016,Jordan Matthews,2,2543500
2015,Jordan Matthews,12,2543500
2016,Allen Robinson,37,2543509
2015,Allen Robinson,1,2543509
2015,Martavis Bryant,2,2543572
2016,Donte Moncrief,7,2543614
2016,John Brown,1,2543847
2016,Tyler Lockett,2,2552430
2016,Amari Cooper,23,2552487
2015,Amari Cooper,10,2552487
2015,Nelson Agholor,4,2552600
2016,Stefon Diggs,2,2552608
2016,Sterling Shepard,2,2555295
2015,Martellus Bennett,3,1062
2014,Martellus Bennett,1,1062
2013,Brandon Myers,3,89766
2013,Ed Dickson,5,497224
2015,Jimmy Graham,30,497236
2014,Jimmy Graham,42,497236
2013,Jimmy Graham,37,497236
2016,Rob Gronkowski,39,497240
2015,Rob Gronkowski,37,497240
2014,Rob Gronkowski,17,497240
2013,Rob Gronkowski,15,497240
2014,Dennis Pitta,1,497254
2016,Julius Thomas,2,2495353
2014,Julius Thomas,19,2495353
2014,Kyle Rudolph,2,2495438
2014,Kyle Rudolph,1,2495438
2013,Kyle Rudolph,2,2495438
2016,Greg Olsen,11,2495700
2015,Greg Olsen,8,2495700
2014,Greg Olsen,7,2495700
2014,Vernon Davis,5,2495826
2013,Vernon Davis,10,2495826
2016,Delanie Walker,10,2495966
2015,Delanie Walker,1,2495966
2016,Antonio Gates,3,2505299
2014,Antonio Gates,5,2505299
2013,Antonio Gates,5,2505299
2015,Jason Witten,3,2505629
2014,Jason Witten,4,2505629
2013,Jason Witten,5,2505629
2016,Coby Fleener,4,2532838
2015,Dwayne Allen,1,2533046
2016,Tyler Eifert,2,2540148
2016,Zach Ertz,2,2540158
2015,Zach Ertz,4,2540158
2016,Jordan Reed,17,2540160
2016,Travis Kelce,9,2540258
2015,Travis Kelce,7,2540258
