["Josh Bellamy", 2535964, "WR"]
["Brenton Bersin", 2535966, "WR"]
["Brittan Golden", 2535988, "WR"]
["Jamize Olawale", 2536044, "RB"]
["Cooper Helfet", 2536071, "TE"]
["Justin Tucker", 2536340, "K"]
["Brandon Bostick", 2536342, "TE"]
["Josh Gordon", 2537931, "WR"]
["Larry Donnell", 2537933, "TE"]
["Michael Williams", 2539197, "TE"]
["Chris Gragg", 2539202, "TE"]
["Cobi Hamilton", 2539203, "WR"]
["Terrance Williams", 2539205, "WR"]
["Andre Ellington", 2539217, "RB"]
["Dustin Hopkins", 2539227, "K"]
["EJ Manuel", 2539228, "QB"]
["Tavarres King", 2539235, "WR"]
["Quinton Patton", 2539250, "WR"]
["Denard Robinson", 2539260, "RB"]
["Rex Burkhead", 2539265, "RB"]
["Mike Glennon", 2539275, "QB"]
["Jake Stoneburner", 2539283, "TE"]
["Landry Jones", 2539287, "QB"]
["Kenjon Barner", 2539289, "RB"]
["Markus Wheaton", 2539291, "WR"]
["Zach Line", 2539303, "RB"]
["Matt Barkley", 2539308, "QB"]
["Stepfan Taylor", 2539315, "RB"]
["Christine Michael", 2539322, "RB"]
["Geno Smith", 2539335, "QB"]
["Tavon Austin", 2539336, "WR"]
["Caleb Sturgis", 2539637, "K"]
["Brandon Williams", 2539645, "TE"]
["Mike Gillislee", 2539663, "RB"]
["Ryan Nassib", 2539961, "QB"]
["Marquise Goodwin", 2539964, "WR"]
["Kerwynn Williams", 2539980, "RB"]
["Mychal Rivera", 2539995, "TE"]
["Marlon Brown", 2540005, "WR"]
["Chris Thompson", 2540011, "RB"]
["Theo Riddick", 2540020, "RB"]
["Fozzy Whittaker", 2540037, "RB"]
["Cordarrelle Patterson", 2540145, "WR"]
["Tyler Eifert", 2540148, "TE"]
["Justin Hunter", 2540151, "WR"]
["Keenan Allen", 2540154, "WR"]
["Giovani Bernard", 2540156, "RB"]
["Stedman Bailey", 2540157, "WR"]
["Zach Ertz", 2540158, "TE"]
["Jordan Reed", 2540160, "TE"]
["DeAndre Hopkins", 2540165, "WR"]
["Eddie Lacy", 2540168, "RB"]
["Robert Woods", 2540169, "WR"]
["Tyler Bray", 2540173, "QB"]
["Le'Veon Bell", 2540175, "RB"]
["Marquess Wilson", 2540177, "WR"]
["Knile Davis", 2540178, "RB"]
["Josh Boyce", 2540181, "WR"]
["Dion Sims", 2540200, "TE"]
["Kenny Stills", 2540202, "WR"]
["Levine Toilolo", 2540203, "TE"]
["Spencer Ware", 2540204, "RB"]
["Gavin Escobar", 2540211, "TE"]
["Vance McDonald", 2540215, "TE"]
["Mike James", 2540224, "RB"]
["Kyle Juszczyk", 2540230, "RB"]
["Jack Doyle", 2540232, "TE"]
["Travis Kelce", 2540258, "TE"]
